job_role,company_name,location,stipend
Integration Engineer,ClearTax,"Gurgaon, Mumbai","₹ 30,000 /month"
RPA Development,NatWest Group,Gurgaon,"₹ 45,000 /month"
Quality Analyst(Sales),Internshala Trainings,Gurgaon,"₹ 18,000 /month"
Artificial Intelligence (AI),Genesys International Corporation Limited,Mumbai,"₹ 8,000-15,000 /month"
Augmented Reality/ Virtual Reality Developer,"Indian Institute Of Technology, Bombay",Mumbai,"₹ 10,000 /month"
Information Technology,ClearTax,Bangalore,"₹ 20,000 /month"
Artificial Intelligence & Machine Learning,NatWest Group,Gurgaon,"₹ 45,000 /month"
Java Development,NatWest Group,Gurgaon,"₹ 45,000 /month"
DevOps,AskMeOffers,Work from home,"₹ 30,000 /month"
Gaming,AskMeOffers,Work from home,"₹ 30,000 /month"
Internet Of Things (IoT),AskMeOffers,Work from home,"₹ 33,000 /month"
Java Development,AskMeOffers,Work from home,"₹ 30,000 /month"
Mobile App Development,AskMeOffers,Work from home,"₹ 30,000 /month"
Front End Development,Namekart,Work from home,"₹ 10,000-20,000 /month"
Backend Development,Namekart,Work from home,"₹ 10,000-20,000 /month"
Quality Analyst,Guruji Astro,Jaipur,"₹ 8,000-10,000 /month"
Quality Analyst,Rizzle,Hyderabad,"₹ 15,000 /month"
Game/Level Design,CodingCraft By KBD Group,Pune,"₹ 10,000-15,000 /month"
Backend Development,Mudraksh And McShaw Advisory,Noida,"₹ 10,000 /month"
Backend Development,UniAcco,Mumbai,"₹ 15,000 /month"
Quantitative Developer,Mudraksh And McShaw Advisory,"Delhi, Noida","₹ 10,000 /month"
Computer Vision And Deep Learning,Edith Defence Systems Private Limited,Mumbai,"₹ 15,000-20,000 /month"
Fusion360 - SolidWorks Designer - Industrial Automation,Bilateral Solutions Private Limited,Mandi,"₹ 10,000 /month"
Software Development,Euphotic Labs Private Limited,Bangalore,"₹ 25,000-30,000 /month"
Flutter Development,BASIC,Work from home,"₹ 10,000 /month"
Quality Analyst,Arjun Industries,"Vadodara, Waghodia","₹ 10,000 /month"
Product Marketing,Darwin (Bio + AI),"Chennai, Bangalore","₹ 12,000-18,000 /month"
Product Management,Signzy,Bangalore,"₹ 30,000 /month"
Reactjs Development,Guruji Astro,Jaipur,"₹ 10,000 /month"
Artificial Intelligence (AI),CollegeTips Ed Tech Media Private Limited,Work from home,"₹ 10,000 /month"
WordPress Development,Nilee Games & Future Technologies Private Limited,Mumbai,"₹ 5,000-15,000 /month"
Web Development,Uttam Udyog,Work from home,"₹ 1,000-10,000 /month"
Full Stack Development,Samplify,Gurgaon,"₹ 12,000-15,000 /month"
Reactjs Development,Simply Shopy,Chennai,"₹ 10,000 /month"
Software Development,Kanbir Solutions,Ahmedabad,"₹ 18,000-25,000 /month"
Front End Development,Fabulous Media Private Limited,Gurgaon,"₹ 5,000-15,000 /month"
React Native,IELTS Proficiency,Work from home,"₹ 7,000-12,000 /month"
Backend Development,THEFINANSOL,Delhi,"₹ 10,000 /month"
Front End Development,Mudraksh And McShaw Advisory,Noida,"₹ 10,000 /month"
Python Development,Jorim Technology Solutions Private Limited,Chennai,"₹ 10,000-12,000 /month"
job_role,company_name,location,stipend
Front End Development,Mudraksh And McShaw Advisory,Noida,"₹ 10,000 /month"
Python Development,Jorim Technology Solutions Private Limited,Chennai,"₹ 10,000-12,000 /month"
Product Management,Illumine Knowledge Resources,Mumbai,"₹ 20,000 /month"
Node.js Development,The Tech Musketeers,Work from home,"₹ 15,000-25,000 /month"
App Development,Acies,Mumbai,"₹ 20,000 /month"
Figma Designer For Mobile App,Calyco Products Private Limited,Work from home,"₹ 6,000-10,000 /month"
Python Development,Clorse Private Limited,Pune,"₹ 10,000 /month"
Web Development,Eduminatti,Work from home,"₹ 12,000 /month"
Web Development,IndianAppGuy Tech Private Limited,Work from home,"₹ 20,000 /month"
Product Management,Relinns Technologies,"Chandigarh, Mohali","₹ 8,000-15,000 /month"
Blockchain Development,Avaari,Work from home,"₹ 18,000 /month"
Machine Learning,Avaari,Work from home,"₹ 15,000 /month"
Mobile App Development,Avaari,Work from home,"₹ 15,000 /month"
Artificial Intelligence (AI),Avaari,Work from home,"₹ 15,000 /month"
Web Development,Avaari,Work from home,"₹ 15,000 /month"
Web Development,Avaari,"Ahmedabad, Chennai, Kolkata, Pune, Bangalore, Bhopal, Mumbai, Kochi, Munnar, Jaipur, Himachal Pradesh","₹ 20,000 /month"
Artificial Intelligence (AI),Avaari,"Ahmedabad, Chandigarh, Chennai, Coimbatore, Delhi, Guwahati, Gurgaon, Indore, Bangalore, Hyderabad, Bhopal, Kochi, Noida, Raipur, Ludhiana","₹ 25,000 /month"
